Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1784476382088,27.1,1,WI,Gudakesh Motie,Jayden Lennox,"Jayden Lennox to Gudakesh Motie, no run, slow and short outside off, Motie punches to cover"
1784476397569,27.2,1,WI,Gudakesh Motie,Jayden Lennox,"Jayden Lennox to Gudakesh Motie, 2 runs, floaty full delivery just outside off, Motie lifts it back over the bowler's head off the toe end. Long-on tidies up and keeps it down to a double"
1784476417510,27.3,1,WI,Gudakesh Motie,Jayden Lennox,"Jayden Lennox to Gudakesh Motie, no run, full at the stumps, pushed back to the bowler"
1784476436146,27.4,1,WI,Gudakesh Motie,Jayden Lennox,"Jayden Lennox to Gudakesh Motie, 1 run, attempts to heave down the ground and skews it off the thick inside half towards long-on"
1784476463480,27.5,1,WI,Amir Jangoo,Jayden Lennox,"Jayden Lennox to Amir Jangoo, 1 run, <b>100 up for the West Indies.</b> Jangoo comes down the track and forces the drive through extra cover"
1784476486774,27.6,1,WI,Gudakesh Motie,Jayden Lennox,"Jayden Lennox to Gudakesh Motie, <b>FOUR</b>, much-needed hits these for the West Indies. Motie wallops straight and times it well enough to race away to the long-off fence"
1784476541874,28.1,1,WI,Amir Jangoo,Michael Bracewell,"Michael Bracewell to Amir Jangoo, no run, full on the stumps, Jangoo with a big stride forward to block into the off-side"
1784476570293,28.2,1,WI,Amir Jangoo,Michael Bracewell,"Michael Bracewell to Amir Jangoo, 1 run, punched off the back foot to the right of cover. The fielder dives and fumbles, creating a yes-no situation for the batters. It all ends well for the home side though"
1784476592797,28.3,1,WI,Gudakesh Motie,Michael Bracewell,"Michael Bracewell to Gudakesh Motie, 1 run, fuller on off, Motie drives it to the right of long-off"
1784476617096,28.4,1,WI,Amir Jangoo,Michael Bracewell,"Michael Bracewell to Amir Jangoo, 1 run, quicker on off stump, Jangoo forces it down to long-off"
1784476638429,28.5,1,WI,Gudakesh Motie,Michael Bracewell,"Michael Bracewell to Gudakesh Motie, no run, cut away hard to the right of the diving fielder at backward point"
1784476660601,28.6,1,WI,Gudakesh Motie,Michael Bracewell,"Michael Bracewell to Gudakesh Motie, 1 run, opens the bat face and punches this to the right of sweeper cover for a strike-retaining single"
1784476728563,29.1,1,WI,Gudakesh Motie,Jayden Lennox,"Jayden Lennox to Gudakesh Motie, <b>FOUR</b>, Jayden errs in line and gets punished! Motie picks it off his pads and helps it away to the fine leg fence with a well-timed flick"
1784476756023,29.2,1,WI,Gudakesh Motie,Jayden Lennox,"Jayden Lennox to Gudakesh Motie, 1 run, tossed up just outside off, driven away to the right of long-off"
1784476797557,29.3,1,WI,Amir Jangoo,Jayden Lennox,"Jayden Lennox to Amir Jangoo, 1 run, goes on the back foot and clips the slower length delivery to the left of mid-wicket"
1784476814292,29.4,1,WI,Gudakesh Motie,Jayden Lennox,"Jayden Lennox to Gudakesh Motie, 2 runs, allows the ball to turn in and tickles it off his pads to the left of short fine"
1784476843725,29.5,1,WI,Gudakesh Motie,Jayden Lennox,"Jayden Lennox to Gudakesh Motie, no run, appeal for leg before, but New Zealand not interested in the review. Did Motie get some bat on it? Looks like it. It turned in sharply from a length before taking a feather of an inside-edge onto the front pad"
1784476855622,29.6,1,WI,Gudakesh Motie,Jayden Lennox,"Jayden Lennox to Gudakesh Motie, no run, fuller from Jayden, driven back to the left of the bowler"
1784476906581,30.1,1,WI,Amir Jangoo,Michael Bracewell,"Michael Bracewell to Amir Jangoo, no run"
1784476930332,30.2,1,WI,Amir Jangoo,Michael Bracewell,"Michael Bracewell to Amir Jangoo, no run"
1784476948238,30.3,1,WI,Amir Jangoo,Michael Bracewell,"Michael Bracewell to Amir Jangoo, <b>FOUR</b>, to deep backward point"
1784476982129,30.4,1,WI,Amir Jangoo,Michael Bracewell,"Michael Bracewell to Amir Jangoo, no run"
1784477006942,30.5,1,WI,Amir Jangoo,Michael Bracewell,"Michael Bracewell to Amir Jangoo, 1 run, tossed up on off, Jangoo opens the bat face and drives all along the ground to sweeper cover"
1784477027783,30.6,1,WI,Gudakesh Motie,Michael Bracewell,"Michael Bracewell to Gudakesh Motie, no run, full on leg stump, Motie leans across and blocks it out to cover"
1784477108988,31.1,1,WI,Amir Jangoo,Jayden Lennox,"Jayden Lennox to Amir Jangoo, 2 runs, slower and wider of off, Jangoo slices the drive to the right of backward point and picks up an easy double"
1784477116092,31.2,1,WI,Amir Jangoo,Jayden Lennox,"Jayden Lennox to Amir Jangoo, 1 run, waits on the back foot and pings the punch to the right of sweeper cover"
1784477141796,31.3,1,WI,Gudakesh Motie,Jayden Lennox,"Jayden Lennox to Gudakesh Motie, no run, flicked off the pads to the left of Santner at short mid-wicket"
1784477155320,31.4,1,WI,Gudakesh Motie,Jayden Lennox,"Jayden Lennox to Gudakesh Motie, no run, full and just outside off, played back to the bowler"
1784477175389,31.5,1,WI,Gudakesh Motie,Jayden Lennox,"Jayden Lennox to Gudakesh Motie, no run, looks to flick and gets a leading edge to the right of cover"
1784477197926,31.6,1,WI,Gudakesh Motie,Jayden Lennox,"Jayden Lennox to Gudakesh Motie, 1 run, to long-on"
1784477248268,32.1,1,WI,Gudakesh Motie,Michael Bracewell,"Michael Bracewell to Gudakesh Motie, no run, flighted delivery just outside off, Motie drives straight to backward point"
1784477263028,32.2,1,WI,Gudakesh Motie,Michael Bracewell,"Michael Bracewell to Gudakesh Motie, no run, slapped off the back foot but straight to Santner at short extra cover"
1784477289834,32.3,1,WI,Gudakesh Motie,Michael Bracewell,"Michael Bracewell to Gudakesh Motie, 2 runs, square of the wicket"
1784477791264,$undefined,1,WI,,,Change of bats for Amir Jangoo. Looks like he has done some damage to the toe of his bat after attempting to drive off the third ball...
1784477811841,34.5,1,WI,Amir Jangoo,Matthew Fisher,"Matthew Fisher to Amir Jangoo, 1 run, full and wide of off, Jangoo drives square to the right of sweeper cover"
1784477845987,34.6,1,WI,Gudakesh Motie,Matthew Fisher,"Matthew Fisher to Gudakesh Motie, no run, full ball in the channel outside off at 141ks, left alone to the keeper"
1784477902893,35.1,1,WI,Amir Jangoo,Jayden Lennox,"Jayden Lennox to Amir Jangoo, 1 run, full and just outside off, Jangoo drives firmly to the right of long-on"
1784477930288,35.2,1,WI,Gudakesh Motie,Jayden Lennox,"Jayden Lennox to Gudakesh Motie, no run, short outside off, Motie punches straight to cover"
1784477948669,35.3,1,WI,Gudakesh Motie,Jayden Lennox,"Jayden Lennox to Gudakesh Motie, no run, similar pace just outside off, a gentle push back towards the bowler"
1784477984097,35.4,1,WI,Gudakesh Motie,Jayden Lennox,"Jayden Lennox to Gudakesh Motie, no run, quicker and fuller on the stumps, Motie is happy to block it down the pitch"
1784478006336,35.5,1,WI,Gudakesh Motie,Jayden Lennox,"Jayden Lennox to Gudakesh Motie, 1 run, loopy just outside off, Motie flicks to the left of the diving Kelly at square leg"
1784478041351,35.6,1,WI,Amir Jangoo,Jayden Lennox,"Jayden Lennox to Amir Jangoo, 1 run, skates down the track and slams the drive all along the ground to deep extra cover"
1784478098117,$undefined,1,WI,,,"That will be <b>drinks</b>, then. After being reduced to 81/6, Amir Jangoo and Gudakesh Motie have done a decent job to help their side recover. It's been a patient partnership built on strike rotation rather than boundaries, frustrating New Zealand's bowlers."
1784478278002,36.1,1,WI,Amir Jangoo,Matthew Fisher,"Matthew Fisher to Amir Jangoo, 1 run, back of a length outside off at 138ks, Jangoo opens the bat face and punches to sweeper cover"
1784478306571,36.2,1,WI,Gudakesh Motie,Matthew Fisher,"Matthew Fisher to Gudakesh Motie, <b>wide</b>, bumper angled down leg, Motie half-ducks and lets it go"
1784478339423,36.2,1,WI,Gudakesh Motie,Matthew Fisher,"Matthew Fisher to Gudakesh Motie, no run, short outside off at 139ks, hits the bat hard as Motie splices the defence to backward point"
1784478374590,36.3,1,WI,Gudakesh Motie,Matthew Fisher,"Matthew Fisher to Gudakesh Motie, 1 run, hops and tucks the 140ks back of a length delivery to Will Young at deep square"
